epoch,lr,train_loss,val_loss,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,0.0001,2.4122307611008496,2.373740759762851,1733579908,checkpoint_000000,True,False,1,4a35b_00000,2024-12-07_13-58-28,14.121028661727905,14.121028661727905,12070,519fe39d5365,172.28.0.12,14.121028661727905,1
1,0.0001,2.3991133905947213,2.3645158897746694,1733579914,checkpoint_000001,True,False,2,4a35b_00000,2024-12-07_13-58-34,5.844667673110962,19.965696334838867,12070,519fe39d5365,172.28.0.12,19.965696334838867,2
2,0.0001,2.3883953851958113,2.356183030388572,1733579919,checkpoint_000002,True,False,3,4a35b_00000,2024-12-07_13-58-39,5.268097400665283,25.23379373550415,12070,519fe39d5365,172.28.0.12,25.23379373550415,3
3,0.0001,2.379087388515473,2.348857402801514,1733579925,checkpoint_000003,True,False,4,4a35b_00000,2024-12-07_13-58-45,5.786029577255249,31.0198233127594,12070,519fe39d5365,172.28.0.12,31.0198233127594,4
4,0.0001,2.370356254279613,2.340025771747936,1733579930,checkpoint_000004,True,False,5,4a35b_00000,2024-12-07_13-58-50,5.790945529937744,36.810768842697144,12070,519fe39d5365,172.28.0.12,36.810768842697144,5
5,0.0001,2.36216039955616,2.3318378275090996,1733579936,checkpoint_000005,True,False,6,4a35b_00000,2024-12-07_13-58-56,5.324714422225952,42.135483264923096,12070,519fe39d5365,172.28.0.12,42.135483264923096,6
6,0.0001,2.3539422949155164,2.3191995403983374,1733579942,checkpoint_000006,True,False,7,4a35b_00000,2024-12-07_13-59-02,6.211108684539795,48.34659194946289,12070,519fe39d5365,172.28.0.12,48.34659194946289,7
7,0.0001,2.3444273297985387,2.3126454136588355,1733579948,checkpoint_000007,True,False,8,4a35b_00000,2024-12-07_13-59-08,5.434056520462036,53.78064846992493,12070,519fe39d5365,172.28.0.12,53.78064846992493,8
8,0.0001,2.3353529026110955,2.3069510893388223,1733579953,checkpoint_000008,True,False,9,4a35b_00000,2024-12-07_13-59-13,5.3881003856658936,59.16874885559082,12070,519fe39d5365,172.28.0.12,59.16874885559082,9
9,0.0001,2.3261234611272807,2.29998761957342,1733579959,checkpoint_000009,True,False,10,4a35b_00000,2024-12-07_13-59-19,6.049548864364624,65.21829771995544,12070,519fe39d5365,172.28.0.12,65.21829771995544,10
10,0.0001,2.321132173140844,2.296040188182484,1733579964,checkpoint_000010,True,False,11,4a35b_00000,2024-12-07_13-59-24,5.284872055053711,70.50316977500916,12070,519fe39d5365,172.28.0.12,70.50316977500916,11
11,0.0001,2.315021201968193,2.290815353393555,1733579970,checkpoint_000011,True,False,12,4a35b_00000,2024-12-07_13-59-30,5.994260549545288,76.49743032455444,12070,519fe39d5365,172.28.0.12,76.49743032455444,12
12,0.0001,2.307414837181568,2.2863556688482114,1733579976,checkpoint_000012,True,False,13,4a35b_00000,2024-12-07_13-59-36,5.609098672866821,82.10652899742126,12070,519fe39d5365,172.28.0.12,82.10652899742126,13
13,0.0001,2.300503768026829,2.2808821418068628,1733579981,checkpoint_000013,True,False,14,4a35b_00000,2024-12-07_13-59-41,5.238010883331299,87.34453988075256,12070,519fe39d5365,172.28.0.12,87.34453988075256,14
14,0.0001,2.297016471624375,2.2790570042350073,1733579988,checkpoint_000014,True,False,15,4a35b_00000,2024-12-07_13-59-48,6.150317430496216,93.49485731124878,12070,519fe39d5365,172.28.0.12,93.49485731124878,15
15,0.0001,2.2924699882666273,2.2712991020896216,1733579993,checkpoint_000015,True,False,16,4a35b_00000,2024-12-07_13-59-53,5.36035680770874,98.85521411895752,12070,519fe39d5365,172.28.0.12,98.85521411895752,16
16,0.0001,2.287368593116602,2.2707051038742065,1733579999,checkpoint_000016,True,False,17,4a35b_00000,2024-12-07_13-59-59,5.960588216781616,104.81580233573914,12070,519fe39d5365,172.28.0.12,104.81580233573914,17
17,0.0001,2.284372811516125,2.266462824561379,1733580005,checkpoint_000017,True,False,18,4a35b_00000,2024-12-07_14-00-05,5.722916841506958,110.5387191772461,12070,519fe39d5365,172.28.0.12,110.5387191772461,18
18,0.0001,2.2781988903880124,2.263144796544855,1733580010,checkpoint_000018,True,False,19,4a35b_00000,2024-12-07_14-00-10,5.364776372909546,115.90349555015564,12070,519fe39d5365,172.28.0.12,115.90349555015564,19
